baseline_name,page_key,device,url,environment,throttling_method,captured_at,approved_at,source_run_id,sample_count_requested,performance_score,first_contentful_paint_seconds,largest_contentful_paint_seconds,total_blocking_time_seconds,interactive_seconds,speed_index_seconds,cumulative_layout_shift
pre-trugreen-dev-updates,blog-landing,desktop,https://www.trugreen.com/lawn-care-101/blog,prod,simulate,2026-08-11T17:02:43.913Z,2026-08-11T17:02:44.267Z,2026-08-11T16:54:31.069Z,3,0.67,3.52,42.93,11.12,53.19,,1.11
pre-trugreen-dev-updates,blog-landing,mobile,https://www.trugreen.com/lawn-care-101/blog,prod,simulate,2026-08-11T17:02:43.913Z,2026-08-11T17:02:44.267Z,2026-08-11T16:54:31.069Z,3,8.67,2.27,15.32,9.93,46.44,,1.48
pre-trugreen-dev-updates,branch-chattanooga-tn,desktop,https://www.trugreen.com/local-lawn-care/tennessee/chattanooga,prod,simulate,2026-08-11T17:20:39.295Z,2026-08-11T17:24:59.207Z,2026-08-11T17:18:07.976Z,3,26.33,3.43,27.77,1.9,30.24,,0.02
pre-trugreen-dev-updates,branch-chattanooga-tn,mobile,https://www.trugreen.com/local-lawn-care/tennessee/chattanooga,prod,simulate,2026-08-11T17:20:39.295Z,2026-08-11T17:24:59.207Z,2026-08-11T17:18:07.976Z,3,33.33,4.29,25.61,1.8,25.91,,0.05
pre-trugreen-dev-updates,branch-sacramento-ca,desktop,https://www.trugreen.com/local-lawn-care/california/sacramento,prod,simulate,2026-08-11T17:23:01.579Z,2026-08-11T17:24:59.207Z,2026-08-11T17:20:39.332Z,3,25,4.34,28,1.63,29.3,,0
pre-trugreen-dev-updates,branch-sacramento-ca,mobile,https://www.trugreen.com/local-lawn-care/california/sacramento,prod,simulate,2026-08-11T17:23:01.579Z,2026-08-11T17:24:59.207Z,2026-08-11T17:20:39.332Z,3,33.67,4.27,20.83,1.74,25.06,,0.03
pre-trugreen-dev-updates,customer-support,desktop,https://www.trugreen.com/customer-support,prod,simulate,2026-08-11T16:29:53.863Z,2026-08-11T16:44:27.780Z,2026-08-11T16:20:39.027Z,3,25.33,3.3,12.85,14.65,34.56,,0.03
pre-trugreen-dev-updates,customer-support,mobile,https://www.trugreen.com/customer-support,prod,simulate,2026-08-11T16:29:53.863Z,2026-08-11T16:44:27.780Z,2026-08-11T16:20:39.027Z,3,19,3.49,11.44,14.8,34.72,,0.21
pre-trugreen-dev-updates,faqs,desktop,https://www.trugreen.com/lawn-care-101/faqs,prod,simulate,2026-08-11T16:06:32.075Z,2026-08-11T16:13:06.769Z,2026-08-11T15:58:11.103Z,3,3.33,4.67,30.4,16.24,43.19,,0.85
pre-trugreen-dev-updates,faqs,mobile,https://www.trugreen.com/lawn-care-101/faqs,prod,simulate,2026-08-11T16:06:32.075Z,2026-08-11T16:13:06.769Z,2026-08-11T15:58:11.103Z,3,2.33,4.67,22.92,12.65,39.52,,1.59
pre-trugreen-dev-updates,grub-control,desktop,https://www.trugreen.com/products-and-services/grub-control,prod,simulate,2026-08-11T14:33:39.837Z,2026-08-11T14:50:48.611Z,2026-08-11T14:25:01.470Z,3,25.67,3.47,9.9,13.79,37.73,,0.02
pre-trugreen-dev-updates,grub-control,mobile,https://www.trugreen.com/products-and-services/grub-control,prod,simulate,2026-08-11T14:33:39.837Z,2026-08-11T14:50:48.611Z,2026-08-11T14:25:01.470Z,3,27.33,4.05,14.48,10.95,35.85,,0.05
pre-trugreen-dev-updates,home,desktop,https://www.trugreen.com/,prod,simulate,2026-08-11T04:31:40.168Z,2026-08-11T04:31:40.638Z,2026-08-11T04:21:23.589Z,3,1,3.67,24.49,16.46,40.62,,0.84
pre-trugreen-dev-updates,home,mobile,https://www.trugreen.com/,prod,simulate,2026-08-11T04:31:40.168Z,2026-08-11T04:31:40.638Z,2026-08-11T04:21:23.589Z,3,3.67,3.39,19.12,16.02,40.79,,1.82
pre-trugreen-dev-updates,lawn-care-101,desktop,https://www.trugreen.com/lawn-care-101,prod,simulate,2026-08-11T15:27:43.712Z,2026-08-11T16:13:06.769Z,2026-08-11T15:23:11.167Z,3,14.33,4.21,22.82,8.9,33.89,,0.37
pre-trugreen-dev-updates,lawn-care-101,mobile,https://www.trugreen.com/lawn-care-101,prod,simulate,2026-08-11T15:27:43.712Z,2026-08-11T16:13:06.769Z,2026-08-11T15:23:11.167Z,3,23,4.61,19.09,7.25,33.29,,0.12
pre-trugreen-dev-updates,lawn-disease,desktop,https://www.trugreen.com/products-and-services/lawn-disease,prod,simulate,2026-08-11T14:50:47.976Z,2026-08-11T14:50:48.611Z,2026-08-11T14:41:12.920Z,3,20,4.07,12.95,13.84,37.8,,0.14
pre-trugreen-dev-updates,lawn-disease,mobile,https://www.trugreen.com/products-and-services/lawn-disease,prod,simulate,2026-08-11T14:50:47.976Z,2026-08-11T14:50:48.611Z,2026-08-11T14:41:12.920Z,3,14.33,3.05,13.98,12.87,34.44,,0.36
pre-trugreen-dev-updates,lawn-fertilization,desktop,https://www.trugreen.com/products-and-services/lawn-fertilization,prod,simulate,2026-08-11T14:08:41.920Z,2026-08-11T14:50:48.611Z,2026-08-11T13:58:58.848Z,3,25,4.4,10.78,12.67,35.85,,0.01
pre-trugreen-dev-updates,lawn-fertilization,mobile,https://www.trugreen.com/products-and-services/lawn-fertilization,prod,simulate,2026-08-11T14:08:41.920Z,2026-08-11T14:50:48.611Z,2026-08-11T13:58:58.848Z,3,27,4.06,15.23,13.53,36.56,,0.05
pre-trugreen-dev-updates,lawn-stress-guard,desktop,https://www.trugreen.com/products-and-services/lawn-stress-guard,prod,simulate,2026-08-11T17:45:24.765Z,2026-08-11T18:00:25.435Z,2026-08-11T17:36:32.822Z,3,25,4.87,14.93,13.04,40.27,,0.01
pre-trugreen-dev-updates,lawn-stress-guard,mobile,https://www.trugreen.com/products-and-services/lawn-stress-guard,prod,simulate,2026-08-11T17:45:24.765Z,2026-08-11T18:00:25.435Z,2026-08-11T17:36:32.822Z,3,26,4.67,16.83,12.95,38.28,,0.05
pre-trugreen-dev-updates,login,desktop,https://www.trugreen.com/my-account/login,prod,simulate,2026-08-11T16:35:01.878Z,2026-08-11T16:44:27.780Z,2026-08-11T16:29:53.918Z,3,25,4.28,12.4,10.63,32.01,,0.04
pre-trugreen-dev-updates,login,mobile,https://www.trugreen.com/my-account/login,prod,simulate,2026-08-11T16:35:01.878Z,2026-08-11T16:44:27.780Z,2026-08-11T16:29:53.918Z,3,27,3.54,16.37,8.9,31.55,,0.08
pre-trugreen-dev-updates,lp-high,desktop,https://www.trugreen.com/b/ppc/landing-page,prod,simulate,2026-08-11T13:15:26.841Z,2026-08-11T13:19:31.929Z,2026-08-11T13:13:30.403Z,3,24,3.05,10.43,2.59,29.13,,0.09
pre-trugreen-dev-updates,lp-high,mobile,https://www.trugreen.com/b/ppc/landing-page,prod,simulate,2026-08-11T13:15:26.841Z,2026-08-11T13:19:31.929Z,2026-08-11T13:13:30.403Z,3,33.67,3.05,9.41,2.38,28.58,,0.04
pre-trugreen-dev-updates,lp-low,desktop,https://www.trugreen.com/ppc/landing-page,prod,simulate,2026-08-11T13:19:31.741Z,2026-08-11T13:19:31.928Z,2026-08-11T13:17:24.889Z,3,24.67,3.21,10.9,2.57,30.67,,0.07
pre-trugreen-dev-updates,lp-low,mobile,https://www.trugreen.com/ppc/landing-page,prod,simulate,2026-08-11T13:19:31.741Z,2026-08-11T13:19:31.928Z,2026-08-11T13:17:24.889Z,3,26,3.08,8.8,2.66,27.53,,0.28
pre-trugreen-dev-updates,lp-medium,desktop,https://www.trugreen.com/nb/ppc/landing-page,prod,simulate,2026-08-11T13:17:24.857Z,2026-08-11T13:19:31.929Z,2026-08-11T13:15:26.865Z,3,24.33,3.5,11.19,2.64,28.79,,0.07
pre-trugreen-dev-updates,lp-medium,mobile,https://www.trugreen.com/nb/ppc/landing-page,prod,simulate,2026-08-11T13:17:24.857Z,2026-08-11T13:19:31.929Z,2026-08-11T13:15:26.865Z,3,33,3.25,9.55,2.8,27.67,,0.06
pre-trugreen-dev-updates,natural-lawn-care,desktop,https://www.trugreen.com/products-and-services/natural-lawn-care,prod,simulate,2026-08-11T13:43:40.929Z,2026-08-11T13:48:56.861Z,2026-08-11T13:38:31.370Z,3,25.67,4,8.64,8.95,33.97,,0.02
pre-trugreen-dev-updates,natural-lawn-care,mobile,https://www.trugreen.com/products-and-services/natural-lawn-care,prod,simulate,2026-08-11T13:43:40.929Z,2026-08-11T13:48:56.861Z,2026-08-11T13:38:31.370Z,3,26.33,4.62,14.19,7.92,31.72,,0.05
pre-trugreen-dev-updates,newsroom,desktop,https://www.trugreen.com/newsroom,prod,simulate,2026-08-11T18:34:37.484Z,2026-08-11T18:34:37.882Z,2026-08-11T18:33:04.466Z,3,26.33,4.56,12.69,1.07,15.05,,0.03
pre-trugreen-dev-updates,newsroom,mobile,https://www.trugreen.com/newsroom,prod,simulate,2026-08-11T18:34:37.484Z,2026-08-11T18:34:37.882Z,2026-08-11T18:33:04.466Z,3,38.33,3.74,11.8,0.9,14.74,,0.11
pre-trugreen-dev-updates,newsroom-executive-staff,desktop,https://www.trugreen.com/newsroom/executive-staff#about,prod,simulate,2026-08-11T18:00:25.020Z,2026-08-11T18:00:25.435Z,2026-08-11T17:55:37.501Z,3,3,4.59,12.44,9.4,32.49,,0.63
pre-trugreen-dev-updates,newsroom-executive-staff,mobile,https://www.trugreen.com/newsroom/executive-staff#about,prod,simulate,2026-08-11T18:00:25.020Z,2026-08-11T18:00:25.435Z,2026-08-11T17:55:37.501Z,3,2,4.38,13.85,8.63,29.51,,1.35
pre-trugreen-dev-updates,pay-your-bill,desktop,https://www.trugreen.com/pay-your-bill,prod,simulate,2026-08-11T16:44:27.270Z,2026-08-11T16:44:27.780Z,2026-08-11T16:39:41.185Z,3,25,5.36,12.82,10.09,32.12,,0.02
pre-trugreen-dev-updates,pay-your-bill,mobile,https://www.trugreen.com/pay-your-bill,prod,simulate,2026-08-11T16:44:27.270Z,2026-08-11T16:44:27.780Z,2026-08-11T16:39:41.185Z,3,25.33,5.7,15.38,9.45,31.48,,0.05
pre-trugreen-dev-updates,ph-and-soil-analysis,desktop,https://www.trugreen.com/products-and-services/ph-and-soil-analysis,prod,simulate,2026-08-11T18:31:07.541Z,2026-08-11T18:34:37.882Z,2026-08-11T18:29:06.883Z,3,19,4.11,10.07,1.36,15.85,,0.16
pre-trugreen-dev-updates,ph-and-soil-analysis,mobile,https://www.trugreen.com/products-and-services/ph-and-soil-analysis,prod,simulate,2026-08-11T18:31:07.541Z,2026-08-11T18:34:37.882Z,2026-08-11T18:29:06.883Z,3,20.67,4.17,12.93,1.21,15.42,,0.4
pre-trugreen-dev-updates,privacy-policy,desktop,https://www.trugreen.com/about/privacy-policy,prod,simulate,2026-08-11T18:33:04.434Z,2026-08-11T18:34:37.882Z,2026-08-11T18:31:07.575Z,3,11,3.65,11.34,1.11,16.41,,0.49
pre-trugreen-dev-updates,privacy-policy,mobile,https://www.trugreen.com/about/privacy-policy,prod,simulate,2026-08-11T18:33:04.434Z,2026-08-11T18:34:37.882Z,2026-08-11T18:31:07.575Z,3,30.33,3.59,10.77,0.96,15.28,,0.41
pre-trugreen-dev-updates,products-and-services,desktop,https://www.trugreen.com/products-and-services,prod,simulate,2026-08-11T13:06:37.607Z,2026-08-11T13:06:38.157Z,2026-08-11T12:57:01.318Z,3,9.67,4.12,13.76,13.12,38.82,,0.55
pre-trugreen-dev-updates,products-and-services,mobile,https://www.trugreen.com/products-and-services,prod,simulate,2026-08-11T13:06:37.607Z,2026-08-11T13:06:38.157Z,2026-08-11T12:57:01.318Z,3,14,2.93,11.68,14.93,36.86,,0.7
pre-trugreen-dev-updates,registration,desktop,https://www.trugreen.com/my-account/registration,prod,simulate,2026-08-11T16:39:40.593Z,2026-08-11T16:44:27.780Z,2026-08-11T16:35:01.915Z,3,17.67,3.87,18.6,8.29,30.74,,0.22
pre-trugreen-dev-updates,registration,mobile,https://www.trugreen.com/my-account/registration,prod,simulate,2026-08-11T16:39:40.593Z,2026-08-11T16:44:27.780Z,2026-08-11T16:35:01.915Z,3,16,4.47,13.23,9.41,30.15,,0.46
pre-trugreen-dev-updates,terms,desktop,https://www.trugreen.com/about/terms,prod,simulate,2026-08-11T15:49:16.486Z,2026-08-11T16:13:06.769Z,2026-08-11T15:41:04.311Z,3,13.67,3.48,18.61,13.01,32.4,,0.29
pre-trugreen-dev-updates,terms,mobile,https://www.trugreen.com/about/terms,prod,simulate,2026-08-11T15:49:16.486Z,2026-08-11T16:13:06.769Z,2026-08-11T15:41:04.311Z,3,17.67,3.43,13.88,14.54,34.71,,0.23
pre-trugreen-dev-updates,testimonials-and-ratings,desktop,https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings,prod,simulate,2026-08-11T18:21:46.565Z,2026-08-11T18:21:46.803Z,2026-08-11T18:19:40.365Z,3,27.33,3.77,21.79,0.98,24.51,,0.04
pre-trugreen-dev-updates,testimonials-and-ratings,mobile,https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings,prod,simulate,2026-08-11T18:21:46.565Z,2026-08-11T18:21:46.803Z,2026-08-11T18:19:40.365Z,3,36,3.59,22,0.91,23.73,,0.11
pre-trugreen-dev-updates,trubasic,desktop,https://www.trugreen.com/products-and-services/trubasic,prod,simulate,2026-08-11T13:48:56.557Z,2026-08-11T13:48:56.860Z,2026-08-11T13:43:40.962Z,3,24.67,4.91,11.74,8.71,32.76,,0.04
pre-trugreen-dev-updates,trubasic,mobile,https://www.trugreen.com/products-and-services/trubasic,prod,simulate,2026-08-11T13:48:56.557Z,2026-08-11T13:48:56.860Z,2026-08-11T13:43:40.962Z,3,27,4.45,14.65,8.65,31.27,,0.05
pre-trugreen-dev-updates,trucore,desktop,https://www.trugreen.com/products-and-services/trucore,prod,simulate,2026-08-11T18:19:40.331Z,2026-08-11T18:21:46.804Z,2026-08-11T18:17:20.188Z,3,25,4.79,11.98,1.6,17.28,,0.02
pre-trugreen-dev-updates,trucore,mobile,https://www.trugreen.com/products-and-services/trucore,prod,simulate,2026-08-11T18:19:40.331Z,2026-08-11T18:21:46.804Z,2026-08-11T18:17:20.188Z,3,31.67,4.25,12.18,1.57,16.52,,0.08
pre-trugreen-dev-updates,trupro,desktop,https://www.trugreen.com/products-and-services/trupro,prod,simulate,2026-08-11T13:32:06.451Z,2026-08-11T13:48:56.861Z,2026-08-11T13:26:59.837Z,3,25,4.28,12.92,8.93,33.86,,0.02
pre-trugreen-dev-updates,trupro,mobile,https://www.trugreen.com/products-and-services/trupro,prod,simulate,2026-08-11T13:32:06.451Z,2026-08-11T13:48:56.861Z,2026-08-11T13:26:59.837Z,3,26,4.19,14.95,8.5,31.52,,0.07
pre-trugreen-dev-updates,weed-control,desktop,https://www.trugreen.com/products-and-services/weed-control,prod,simulate,2026-08-11T14:22:47.405Z,2026-08-11T14:50:48.611Z,2026-08-11T14:13:20.053Z,3,19.33,4.49,12.09,12.49,35.23,,0.15
pre-trugreen-dev-updates,weed-control,mobile,https://www.trugreen.com/products-and-services/weed-control,prod,simulate,2026-08-11T14:22:47.405Z,2026-08-11T14:50:48.611Z,2026-08-11T14:13:20.053Z,3,22.67,3.61,14.3,13.59,36.25,,0.15
