"run_id","timestamp_iso","project","device_profile","page_key","url","performance_score","first_contentful_paint_seconds","largest_contentful_paint_seconds","interactive_seconds","total_blocking_time_seconds","cumulative_layout_shift"
"2026-07-23T18:56:06.656Z","2026-07-23T18:57:10.526Z","chromium","desktop","products-and-services","https://www.trugreen.com/products-and-services","1","4.45","18.57","46.14","11.28","0.82"
"2026-07-23T18:56:06.660Z","2026-07-23T18:57:21.694Z","chromium","desktop","home","https://www.trugreen.com/","1","3.99","34.82","48.21","19.44","0.82"
"2026-07-23T18:56:06.660Z","2026-07-23T18:59:50.272Z","chromium","mobile","home","https://www.trugreen.com/","27","3.89","16.56","46.33","20.21","0.05"
"2026-07-23T18:56:06.656Z","2026-07-23T18:59:30.766Z","chromium","mobile","products-and-services","https://www.trugreen.com/products-and-services","27","3.91","10.18","43.56","17.44","0.06"
"2026-07-23T19:01:06.180Z","2026-07-23T19:01:37.227Z","chromium","desktop","lp-high","https://www.trugreen.com/b/ppc/landing-page","22","3.95","28.96","31.93","6.36","0.1"
"2026-07-23T19:01:06.180Z","2026-07-23T19:02:29.234Z","chromium","mobile","lp-high","https://www.trugreen.com/b/ppc/landing-page","29","3.7","14.25","27.89","5.64","0.06"
"2026-07-23T19:02:58.333Z","2026-07-23T19:03:30.563Z","chromium","desktop","lp-medium","https://www.trugreen.com/nb/ppc/landing-page","24","3.91","17.02","31.9","6.28","0.08"
"2026-07-23T19:00:55.544Z","2026-07-23T19:02:43.148Z","chromium","desktop","customer-support","https://www.trugreen.com/customer-support","25","3.8","28.98","47.35","19.52","0.01"
"2026-07-23T19:02:58.333Z","2026-07-23T19:04:29.024Z","chromium","mobile","lp-medium","https://www.trugreen.com/nb/ppc/landing-page","30","3.69","9.42","32.07","8.34","0.05"
"2026-07-23T19:04:57.525Z","2026-07-23T19:05:33.471Z","chromium","desktop","lp-low","https://www.trugreen.com/ppc/landing-page","24","3.9","30.07","33.35","6.42","0.08"
"2026-07-23T19:04:57.525Z","2026-07-23T19:06:31.259Z","chromium","mobile","lp-low","https://www.trugreen.com/ppc/landing-page","31","3.23","7.56","32.95","5.5","0.08"
"2026-07-23T19:00:55.544Z","2026-07-23T19:05:58.445Z","chromium","mobile","customer-support","https://www.trugreen.com/customer-support","21","3.67","13.97","42.66","19.78","0.17"
"2026-07-24T19:47:49.706Z","2026-07-24T19:48:47.488Z","chromium","desktop","home","https://www.trugreen.com/","25","4.13","31.78","35.11","8.48","0.02"
"2026-07-24T19:47:49.703Z","2026-07-24T19:49:01.998Z","chromium","desktop","products-and-services","https://www.trugreen.com/products-and-services","1","4.33","16.97","48.37","7.13","0.81"
"2026-07-24T19:47:49.703Z","2026-07-24T19:50:57.587Z","chromium","mobile","products-and-services","https://www.trugreen.com/products-and-services","27","3.81","8.9","31.09","9.36","0.09"
"2026-07-24T19:47:49.706Z","2026-07-24T19:51:03.203Z","chromium","mobile","home","https://www.trugreen.com/","4","3.47","15.6","38.21","10.31","1.02"
"2026-07-24T19:52:11.714Z","2026-07-24T19:52:36.008Z","chromium","desktop","lp-high","https://www.trugreen.com/b/ppc/landing-page","22","3.78","14.59","31.78","2.77","0.1"
"2026-07-24T19:52:11.714Z","2026-07-24T19:53:20.787Z","chromium","mobile","lp-high","https://www.trugreen.com/b/ppc/landing-page","30","3.64","14.25","27.36","3.88","0.07"
"2026-07-24T19:52:04.917Z","2026-07-24T19:53:02.549Z","chromium","desktop","customer-support","https://www.trugreen.com/customer-support","25","4.13","28.93","30.83","11.09","0.01"
"2026-07-24T19:53:44.615Z","2026-07-24T19:54:10.715Z","chromium","desktop","lp-medium","https://www.trugreen.com/nb/ppc/landing-page","24","3.72","13.94","31.84","4.17","0.08"
"2026-07-24T19:53:44.615Z","2026-07-24T19:54:55.616Z","chromium","mobile","lp-medium","https://www.trugreen.com/nb/ppc/landing-page","34","3.21","10.17","29.46","7.73","0.05"
"2026-07-24T19:55:19.767Z","2026-07-24T19:56:24.897Z","chromium","desktop","lp-low","https://www.trugreen.com/ppc/landing-page","24","3.58","15.62","32.64","4.71","0.08"
"2026-07-24T19:55:19.767Z","2026-07-24T19:57:02.326Z","chromium","mobile","lp-low","https://www.trugreen.com/ppc/landing-page","31","3.53","17.19","26.58","2.22","0.07"
"2026-07-27T08:04:35.099Z","2026-07-27T08:05:28.934Z","chromium","desktop","products-and-services","https://www.trugreen.com/products-and-services","1","4.38","17.49","42.85","10.03","0.82"
"2026-07-27T08:04:35.098Z","2026-07-27T08:05:41.261Z","chromium","desktop","home","https://www.trugreen.com/","25","4.02","32.97","48.49","17.36","0.01"
"2026-07-27T08:04:35.098Z","2026-07-27T08:07:23.926Z","chromium","mobile","home","https://www.trugreen.com/","3","3.8","18.15","37.01","9.09","1.52"
"2026-07-27T08:04:35.099Z","2026-07-27T08:07:25.265Z","chromium","mobile","products-and-services","https://www.trugreen.com/products-and-services","32","2.23","13.78","41.37","10.94","0.06"
"2026-07-27T08:08:50.941Z","2026-07-27T08:09:19.401Z","chromium","desktop","lp-high","https://www.trugreen.com/b/ppc/landing-page","22","3.95","16.6","30.82","5.3","0.1"
"2026-07-27T08:08:50.941Z","2026-07-27T08:10:15.059Z","chromium","mobile","lp-high","https://www.trugreen.com/b/ppc/landing-page","30","3.72","10.82","29.99","5.2","0.06"
"2026-07-27T08:10:40.831Z","2026-07-27T08:11:11.431Z","chromium","desktop","lp-medium","https://www.trugreen.com/nb/ppc/landing-page","24","3.87","17.64","31.99","6","0.08"
"2026-07-27T08:08:25.913Z","2026-07-27T08:10:09.582Z","chromium","desktop","customer-support","https://www.trugreen.com/customer-support","25","3.89","30.22","43.13","16.86","0.01"
"2026-07-27T08:10:40.831Z","2026-07-27T08:12:08.629Z","chromium","mobile","lp-medium","https://www.trugreen.com/nb/ppc/landing-page","31","3.68","14.68","30.18","6.66","0.05"
"2026-07-27T08:12:39.457Z","2026-07-27T08:13:12.132Z","chromium","desktop","lp-low","https://www.trugreen.com/ppc/landing-page","24","3.62","19.43","32.88","6.32","0.08"
"2026-07-27T08:08:25.913Z","2026-07-27T08:12:48.460Z","chromium","mobile","customer-support","https://www.trugreen.com/customer-support","21","3.61","13.63","37.21","15.46","0.17"
"2026-07-27T08:12:39.457Z","2026-07-27T08:14:07.403Z","chromium","mobile","lp-low","https://www.trugreen.com/ppc/landing-page","29","3.72","13.49","31.39","6.43","0.07"
