"run_id","timestamp_iso","project","device_profile","page_key","url","performance_score","first_contentful_paint_seconds","largest_contentful_paint_seconds","interactive_seconds","total_blocking_time_seconds","cumulative_layout_shift"
"2026-04-29T20:55:45.771Z","2026-04-29T20:57:26.660Z","chromium","desktop","home","https://www.trugreen.com/","1","3.21","36.08","43.4","16.6","0.9"
"2026-04-29T20:55:45.771Z","2026-04-29T20:59:02.861Z","chromium","desktop","products-and-services","https://www.trugreen.com/products-and-services","30","1.57","10.84","35.39","15.67","0.04"
"2026-04-29T20:55:45.771Z","2026-04-29T21:00:33.497Z","chromium","desktop","customer-support","https://www.trugreen.com/customer-support","16","1.27","15.23","36.12","16.04","0.32"
"2026-04-29T20:55:45.771Z","2026-04-29T21:02:06.670Z","chromium","mobile","home","https://www.trugreen.com/","35","1.43","17.26","39.74","17.15","0.03"
"2026-04-29T20:55:45.771Z","2026-04-29T21:03:44.619Z","chromium","mobile","products-and-services","https://www.trugreen.com/products-and-services","10","1.61","10.68","39.54","15.45","1.03"
"2026-04-29T20:55:45.771Z","2026-04-29T21:05:16.986Z","chromium","mobile","customer-support","https://www.trugreen.com/customer-support","13","1.29","16.67","38.22","16.41","0.56"
"2026-04-30T14:47:50.380Z","2026-04-30T14:49:34.108Z","chromium","desktop","home","https://www.trugreen.com/","1","3.92","26.35","43.62","16.73","0.82"
"2026-04-30T14:47:50.380Z","2026-04-30T14:51:10.873Z","chromium","desktop","products-and-services","https://www.trugreen.com/products-and-services","4","1.71","31.19","35.9","16.24","1.41"
"2026-04-30T14:47:50.380Z","2026-04-30T14:52:49.149Z","chromium","desktop","customer-support","https://www.trugreen.com/customer-support","31","1.45","27.65","36.91","16.64","0.01"
"2026-04-30T14:47:50.380Z","2026-04-30T14:54:25.728Z","chromium","mobile","home","https://www.trugreen.com/","10","1.44","11.56","43.61","16.39","1.52"
"2026-04-30T14:47:50.380Z","2026-04-30T14:56:03.370Z","chromium","mobile","products-and-services","https://www.trugreen.com/products-and-services","9","1.59","10.44","37.87","16.43","1.43"
"2026-04-30T14:47:50.380Z","2026-04-30T14:57:40.430Z","chromium","mobile","customer-support","https://www.trugreen.com/customer-support","15","1.44","27.38","37.4","16.23","0.44"
