"project","generated_at","baseline_label","page_range","max_pages","requested_url","final_url","http_status","redirect_chain","raw_title","rendered_title","raw_canonical","raw_canonical_count","rendered_canonical","rendered_canonical_count","canonical_header","canonical_target_status","canonical_target_final_url","meta_robots_raw","meta_robots_rendered","x_robots_tag","hreflang_count","h1_count","h1_text","hidden_h1_count","landmarks","structured_data","address_count","time_datetime_count","internal_link_count","linked_internal_urls_missing_from_sitemap_count","linked_internal_urls_missing_from_sitemap","js_only_metadata","issue_summary","crawl_error"
"chromium","2026-08-24T21:46:26.044Z","prod-release-2-7-2026-08-24","1-1161","","https://www.trugreen.com/","https://www.trugreen.com/","200","200:https://www.trugreen.com/","TruGreen | America’s #1 Name in Lawn Care","TruGreen | America’s #1 Name in Lawn Care","https://www.trugreen.com/","1","https://www.trugreen.com/","1","","200","https://www.trugreen.com/","","","","0","1","Nobody makes lawn care easier than TruGreen.","0","main|header|footer","jsonld:1;types:Organization|WebSite;invalid:0;missing:jsonld_0_missing_@context|jsonld_1_missing_@context","0","0","41","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-24T21:46:26.044Z","prod-release-2-7-2026-08-24","1-1161","","https://www.trugreen.com/about/california-privacy-policy","https://www.trugreen.com/about/california-privacy-policy","200","200:https://www.trugreen.com/about/california-privacy-policy","","TruGreen | America’s #1 Name in Lawn Care","","0","","0","","","","","","","0","1","TruGreen California Privacy Notice","0","main|header|footer","jsonld:1;types:BreadcrumbList|WebPage;invalid:0;missing:","0","0","41","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","title","missing-canonical|raw-canonical-count-invalid|rendered-canonical-count-invalid|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-24T21:46:26.044Z","prod-release-2-7-2026-08-24","1-1161","","https://www.trugreen.com/about/privacy-policy","https://www.trugreen.com/about/privacy-policy","200","200:https://www.trugreen.com/about/privacy-policy","","TruGreen | America’s #1 Name in Lawn Care","","0","","0","","","","","","","0","0","","0","main|header|footer","jsonld:1;types:BreadcrumbList|WebPage;invalid:0;missing:","0","0","41","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","title","missing-canonical|raw-canonical-count-invalid|rendered-canonical-count-invalid|missing-h1|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-24T21:46:26.044Z","prod-release-2-7-2026-08-24","1-1161","","https://www.trugreen.com/about/sms-privacy-policy","https://www.trugreen.com/about/sms-terms","200","301:https://www.trugreen.com/about/sms-privacy-policy -> 200:https://www.trugreen.com/about/sms-terms","","SMS Terms and Conditions | TruGreen","","0","","0","","","","","","","0","1","SMS Terms and Conditions","0","header|footer","jsonld:1;types:BreadcrumbList|WebPage;invalid:0;missing:","0","0","41","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","title","missing-canonical|raw-canonical-count-invalid|rendered-canonical-count-invalid|missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-24T21:46:26.044Z","prod-release-2-7-2026-08-24","1-1161","","https://www.trugreen.com/about/sms-terms","https://www.trugreen.com/about/sms-terms","200","200:https://www.trugreen.com/about/sms-terms","","SMS Terms and Conditions | TruGreen","","0","","0","","","","","","","0","1","SMS Terms and Conditions","0","header|footer","jsonld:1;types:BreadcrumbList|WebPage;invalid:0;missing:","0","0","41","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","title","missing-canonical|raw-canonical-count-invalid|rendered-canonical-count-invalid|missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-24T21:46:26.044Z","prod-release-2-7-2026-08-24","1-1161","","https://www.trugreen.com/about/terms","https://www.trugreen.com/about/terms","200","200:https://www.trugreen.com/about/terms","","TruGreen | America’s #1 Name in Lawn Care","","0","","0","","","","","","","0","1","TruGreen Terms & Conditions","0","main|header|footer","jsonld:1;types:BreadcrumbList|WebPage;invalid:0;missing:","0","0","41","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","title","missing-canonical|raw-canonical-count-invalid|rendered-canonical-count-invalid|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-24T21:46:26.044Z","prod-release-2-7-2026-08-24","1-1161","","https://www.trugreen.com/aftercare/page","https://www.trugreen.com/aftercare/page","200","200:https://www.trugreen.com/aftercare/page","Expert service. Expert advice. | TruGreen","Expert service. Expert advice. | TruGreen","https://www.trugreen.com/aftercare/page","1","https://www.trugreen.com/aftercare/page","1","","200","https://www.trugreen.com/aftercare/page","","","","0","1","Expert service. Expert advice.","0","header|nav|footer","jsonld:0;types:;invalid:0;missing:","0","0","46","15","https://www.trugreen.com/chat/organic-promo | https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-settings | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/my-account/my-documents | https://www.trugreen.com/my-account/my-services | https://www.trugreen.com/my-account/payments | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/products-and-services/tree-and-shrub-service | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap",""
"chromium","2026-08-24T21:46:26.044Z","prod-release-2-7-2026-08-24","1-1161","","https://www.trugreen.com/all-seasons-lawn-tree-care","https://www.trugreen.com/all-seasons-lawn-tree-care","200","200:https://www.trugreen.com/all-seasons-lawn-tree-care","All Seasons Lawn &amp; Tree Care, Inc. + TruGreen | TruGreen","All Seasons Lawn & Tree Care, Inc. + TruGreen | TruGreen","https://www.trugreen.com/all-seasons-lawn-tree-care","1","https://www.trugreen.com/all-seasons-lawn-tree-care","1","","200","https://www.trugreen.com/all-seasons-lawn-tree-care","","","","0","1","All Seasons Lawn & Tree Care, Inc. + TruGreen","0","main|header|nav|footer","jsonld:0;types:;invalid:0;missing:","0","0","42","11","https://www.trugreen.com/chat/organic-promo | https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/products-and-services/tree-and-shrub-service | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","internal-links-missing-from-sitemap",""
"chromium","2026-08-24T21:46:26.044Z","prod-release-2-7-2026-08-24","1-1161","","https://www.trugreen.com/app","https://www.trugreen.com/lawn-care-101/blog/trugreen-lawn-care-services/trugreen-lawn-care-app","200","301:https://www.trugreen.com/app -> 200:https://www.trugreen.com/lawn-care-101/blog/trugreen-lawn-care-services/trugreen-lawn-care-app","TruGreen App | TruGreen","TruGreen App | TruGreen","https://www.trugreen.com/lawn-care-101/blog/trugreen-lawn-care-services/trugreen-lawn-care-app","1","https://www.trugreen.com/lawn-care-101/blog/trugreen-lawn-care-services/trugreen-lawn-care-app","1","","200","https://www.trugreen.com/lawn-care-101/blog/trugreen-lawn-care-services/trugreen-lawn-care-app","","","","0","1","Manage the Lawn You Love with the TruGreen App","0","header|nav|footer","jsonld:1;types:Article;invalid:0;missing:jsonld_0_missing_@context","0","0","46","11","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/blog?topic=Beyond+the+Lawn | https://www.trugreen.com/lawn-care-101/blog?type=Blog | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-24T21:46:26.044Z","prod-release-2-7-2026-08-24","1-1161","","https://www.trugreen.com/best-lawns-of-utah","https://www.trugreen.com/best-lawns-of-utah","200","200:https://www.trugreen.com/best-lawns-of-utah","Best Lawns of Utah + TruGreen | TruGreen","Best Lawns of Utah + TruGreen | TruGreen","https://www.trugreen.com/best-lawns-of-utah","1","https://www.trugreen.com/best-lawns-of-utah","1","","200","https://www.trugreen.com/best-lawns-of-utah","","","","0","1","Best Lawns of Utah + TruGreen","0","main|header|nav|footer","jsonld:0;types:;invalid:0;missing:","0","0","42","11","https://www.trugreen.com/chat/organic-promo | https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/products-and-services/tree-and-shrub-service | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","internal-links-missing-from-sitemap",""
