"project","generated_at","baseline_label","page_range","max_pages","requested_url","final_url","http_status","redirect_chain","raw_title","rendered_title","raw_canonical","raw_canonical_count","rendered_canonical","rendered_canonical_count","canonical_header","canonical_target_status","canonical_target_final_url","meta_robots_raw","meta_robots_rendered","x_robots_tag","hreflang_count","h1_count","h1_text","hidden_h1_count","landmarks","structured_data","address_count","time_datetime_count","internal_link_count","linked_internal_urls_missing_from_sitemap_count","linked_internal_urls_missing_from_sitemap","js_only_metadata","issue_summary","crawl_error"
"chromium","2026-08-31T15:02:00.104Z","prod-release-2-7-2026-08-28","800-1100","","https://www.trugreen.com/local-lawn-care/florida/daytona-beach","https://www.trugreen.com/local-lawn-care/florida/daytona-beach","200","200:https://www.trugreen.com/local-lawn-care/florida/daytona-beach","TruGreen Daytona: Lawn Care Maintenance Services in Daytona, FL | TruGreen","TruGreen Daytona: Lawn Care Maintenance Services in Daytona, FL | TruGreen","https://www.trugreen.com/local-lawn-care/florida/daytona-beach","1","https://www.trugreen.com/local-lawn-care/florida/daytona-beach","1","","200","https://www.trugreen.com/local-lawn-care/florida/daytona-beach","","","","0","1","Meet your local experts.","0","header|footer","jsonld:1;types:WebPage;invalid:0;missing:","0","0","45","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-31T15:02:00.104Z","prod-release-2-7-2026-08-28","800-1100","","https://www.trugreen.com/local-lawn-care/florida/daytona-beach/lawn-care","https://www.trugreen.com/local-lawn-care/florida/daytona-beach/lawn-care","200","200:https://www.trugreen.com/local-lawn-care/florida/daytona-beach/lawn-care","TruGreen Daytona: Lawn Care Maintenance Services in Daytona, FL | TruGreen","TruGreen Daytona: Lawn Care Maintenance Services in Daytona, FL | TruGreen","https://www.trugreen.com/local-lawn-care/florida/daytona-beach","1","https://www.trugreen.com/local-lawn-care/florida/daytona-beach","1","","200","https://www.trugreen.com/local-lawn-care/florida/daytona-beach","","","","0","2","We put the ""care"" in ""lawn care."" | Explore our plans.","0","header|footer","jsonld:1;types:BreadcrumbList|WebPage;invalid:0;missing:jsonld_0_missing_@context|jsonld_1_missing_@context","0","0","44","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","multiple-h1|missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-31T15:02:00.104Z","prod-release-2-7-2026-08-28","800-1100","","https://www.trugreen.com/local-lawn-care/florida/fruitland-park","https://www.trugreen.com/local-lawn-care/florida/fruitland-park","200","200:https://www.trugreen.com/local-lawn-care/florida/fruitland-park","TruGreen Leesburg: Lawn Care Maintenance Services in Leesburg, FL | TruGreen","TruGreen Leesburg: Lawn Care Maintenance Services in Leesburg, FL | TruGreen","https://www.trugreen.com/local-lawn-care/florida/fruitland-park","1","https://www.trugreen.com/local-lawn-care/florida/fruitland-park","1","","200","https://www.trugreen.com/local-lawn-care/florida/fruitland-park","","","","0","1","Meet your local experts.","0","header|footer","jsonld:1;types:WebPage;invalid:0;missing:","0","0","45","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-31T15:02:00.104Z","prod-release-2-7-2026-08-28","800-1100","","https://www.trugreen.com/local-lawn-care/florida/fruitland-park/lawn-care","https://www.trugreen.com/local-lawn-care/florida/fruitland-park/lawn-care","200","200:https://www.trugreen.com/local-lawn-care/florida/fruitland-park/lawn-care","TruGreen Leesburg: Lawn Care Maintenance Services in Leesburg, FL | TruGreen","TruGreen Leesburg: Lawn Care Maintenance Services in Leesburg, FL | TruGreen","https://www.trugreen.com/local-lawn-care/florida/fruitland-park","1","https://www.trugreen.com/local-lawn-care/florida/fruitland-park","1","","200","https://www.trugreen.com/local-lawn-care/florida/fruitland-park","","","","0","2","We put the ""care"" in ""lawn care."" | Explore our plans.","0","header|footer","jsonld:1;types:BreadcrumbList|WebPage;invalid:0;missing:jsonld_0_missing_@context|jsonld_1_missing_@context","0","0","44","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","multiple-h1|missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-31T15:02:00.104Z","prod-release-2-7-2026-08-28","800-1100","","https://www.trugreen.com/local-lawn-care/florida/ft-myers","https://www.trugreen.com/local-lawn-care/florida/ft-myers","200","200:https://www.trugreen.com/local-lawn-care/florida/ft-myers","TruGreen Ft Myers: Lawn Care Maintenance Services in Ft Myers, FL | TruGreen","TruGreen Ft Myers: Lawn Care Maintenance Services in Ft Myers, FL | TruGreen","https://www.trugreen.com/local-lawn-care/florida/ft-myers","1","https://www.trugreen.com/local-lawn-care/florida/ft-myers","1","","200","https://www.trugreen.com/local-lawn-care/florida/ft-myers","","","","0","1","Meet your local experts.","0","header|footer","jsonld:1;types:WebPage;invalid:0;missing:","0","0","45","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-31T15:02:00.104Z","prod-release-2-7-2026-08-28","800-1100","","https://www.trugreen.com/local-lawn-care/florida/ft-myers/lawn-care","https://www.trugreen.com/local-lawn-care/florida/ft-myers/lawn-care","200","200:https://www.trugreen.com/local-lawn-care/florida/ft-myers/lawn-care","TruGreen Ft Myers: Lawn Care Maintenance Services in Ft Myers, FL | TruGreen","TruGreen Ft Myers: Lawn Care Maintenance Services in Ft Myers, FL | TruGreen","https://www.trugreen.com/local-lawn-care/florida/ft-myers","1","https://www.trugreen.com/local-lawn-care/florida/ft-myers","1","","200","https://www.trugreen.com/local-lawn-care/florida/ft-myers","","","","0","2","We put the ""care"" in ""lawn care."" | Explore our plans.","0","header|footer","jsonld:1;types:BreadcrumbList|WebPage;invalid:0;missing:jsonld_0_missing_@context|jsonld_1_missing_@context","0","0","44","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","multiple-h1|missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-31T15:02:00.104Z","prod-release-2-7-2026-08-28","800-1100","","https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach","https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach","200","200:https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach","TruGreen Ft. Walton Beach: Lawn Care Maintenance Services in Ft. Walton Beach, FL | TruGreen","TruGreen Ft. Walton Beach: Lawn Care Maintenance Services in Ft. Walton Beach, FL | TruGreen","https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach","1","https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach","1","","200","https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach","","","","0","1","Meet your local experts.","0","header|footer","jsonld:1;types:WebPage;invalid:0;missing:","0","0","45","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-31T15:02:00.104Z","prod-release-2-7-2026-08-28","800-1100","","https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach/lawn-care","https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach/lawn-care","200","200:https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach/lawn-care","TruGreen Ft. Walton Beach: Lawn Care Maintenance Services in Ft. Walton Beach, FL | TruGreen","TruGreen Ft. Walton Beach: Lawn Care Maintenance Services in Ft. Walton Beach, FL | TruGreen","https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach","1","https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach","1","","200","https://www.trugreen.com/local-lawn-care/florida/ft-walton-beach","","","","0","2","We put the ""care"" in ""lawn care."" | Explore our plans.","0","header|footer","jsonld:1;types:BreadcrumbList|WebPage;invalid:0;missing:jsonld_0_missing_@context|jsonld_1_missing_@context","0","0","44","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","multiple-h1|missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-31T15:02:00.104Z","prod-release-2-7-2026-08-28","800-1100","","https://www.trugreen.com/local-lawn-care/florida/jacksonville","https://www.trugreen.com/local-lawn-care/florida/jacksonville","200","200:https://www.trugreen.com/local-lawn-care/florida/jacksonville","TruGreen Jacksonville East: Lawn Care Maintenance Services in Jacksonville East, FL | TruGreen","TruGreen Jacksonville East: Lawn Care Maintenance Services in Jacksonville East, FL | TruGreen","https://www.trugreen.com/local-lawn-care/florida/jacksonville","1","https://www.trugreen.com/local-lawn-care/florida/jacksonville","1","","200","https://www.trugreen.com/local-lawn-care/florida/jacksonville","","","","0","1","Meet your local experts.","0","header|footer","jsonld:1;types:WebPage;invalid:0;missing:","0","0","45","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-31T15:02:00.104Z","prod-release-2-7-2026-08-28","800-1100","","https://www.trugreen.com/local-lawn-care/florida/jacksonville/lawn-care","https://www.trugreen.com/local-lawn-care/florida/jacksonville/lawn-care","200","200:https://www.trugreen.com/local-lawn-care/florida/jacksonville/lawn-care","TruGreen Jacksonville East: Lawn Care Maintenance Services in Jacksonville East, FL | TruGreen","TruGreen Jacksonville East: Lawn Care Maintenance Services in Jacksonville East, FL | TruGreen","https://www.trugreen.com/local-lawn-care/florida/jacksonville","1","https://www.trugreen.com/local-lawn-care/florida/jacksonville","1","","200","https://www.trugreen.com/local-lawn-care/florida/jacksonville","","","","0","2","We put the ""care"" in ""lawn care."" | Explore our plans.","0","header|footer","jsonld:1;types:BreadcrumbList|WebPage;invalid:0;missing:jsonld_0_missing_@context|jsonld_1_missing_@context","0","0","44","8","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","multiple-h1|missing-main|internal-links-missing-from-sitemap|duplicate-title",""
